!!!SBtab DocumentName='iCH360' Name='iCH360' SBtabVersion='1.0' Date='2024-9-3'																										
!!SBtab TableID='compartment' Document='../Exemples/SBML/iCH360/Escherichia_coli_iCH360' TableType='Compartment' TableName='Compartment' SBtabVersion='1.0' Date='2024-9-3'																										
!ID	!Name	!Size	!Unit	!SBOTerm																						
c	cytosol	nan																								
e	extracellular space	nan																								
p	periplasm	nan																								
																										
!!SBtab TableID='compound' Document='../Exemples/SBML/iCH360/Escherichia_coli_iCH360' TableType='Compound' TableName='Compound' SBtabVersion='1.0' Date='2024-9-3'																										
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchikey	!Identifiers:kegg.compound	!Identifiers:metanetx.chemical	!Identifiers:reactome	!Identifiers:sabiork.compound	!Identifiers:seed.compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg.drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
R_Htex	Proton transport via diffusion (extracellular to periplasm)	M_h_e <=> M_h_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	Htex	ECOLI:RXN0-2481			MNXR03	34979		rxn08730	R-DME-170026	MNXR100765						
R_H2Otex	H2O transport via diffusion (extracellular to periplasm)	M_h2o_e <=> M_h2o_p				SBO:0000185	True	(G_b0241 or G_b0929 or G_b2215 or G_s0001)	cobra_default_lb	cobra_default_ub	H2Otex	ECOLI:TRANS-RXN0-603			MNXR98641	29670		rxn05319	R-RNO-445714							
R_O2tpp	O2 transport via diffusion (periplasm)	M_o2_p <=> M_o2_c				SBO:0000185	True	G_s0001	cobra_default_lb	cobra_default_ub	O2tpp	ECOLI:TRANS-RXN0-474			MNXR102090			rxn09734								
R_PYRt2rpp	Pyruvate reversible transport via proton symport (periplasm)	M_h_p + M_pyr_p <=> M_h_c + M_pyr_c				SBO:0000185	True	(G_b4354 or G_b0598)	cobra_default_lb	cobra_default_ub	PYRt2rpp	ECOLI:TRANS-RXN-335			MNXR103385			rxn09217	R-GGA-372359							
R_THD2pp	NAD(P) transhydrogenase (periplasm)	M_h_p + M_nadh_c + M_nadp_c <=> M_h_c + M_nad_c + M_nadph_c				SBO:0000185	False	(G_b1602 and G_b1603)	cobra_0_bound	cobra_default_ub	THD2pp	ECOLI:TRANS-RXN0-277	1.6.1.1	R13176	MNXR104805			rxn09295								
R_TKT2	Transketolase	M_e4p_c + M_xu5p__D_c <=> M_f6p_c + M_g3p_c				SBO:0000176	True	(G_b2935 or G_b2465)	cobra_default_lb	cobra_default_ub	TKT2	ECOLI:2TRANSKETO-RXN	2.2.1.1	R01830	MNXR146555	27629				MNXR104869						
R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	M_adp_c + 4.0 M_h_p + M_pi_c <=> M_atp_c + M_h2o_c + 3.0 M_h_c				SBO:0000185	True	(G_b3737 and G_b3736 and G_b3738 and G_b3731 and G_b3735 and G_b3734 and G_b3733 and G_b3732)	cobra_default_lb	cobra_default_ub	ATPS4rpp	ECOLI:ATPSYN-RXN	3.6.3.14		MNXR153059			rxn10042		MNXR96136						
R_CO2tpp	CO2 transporter via diffusion (periplasm)	M_co2_p <=> M_co2_c				SBO:0000185	True	G_s0001	cobra_default_lb	cobra_default_ub	CO2tpp	ECOLI:TRANS-RXN0-545			MNXR96810			rxn09860	R-ATH-1247649							
R_GK1	Guanylate kinase (GMP:ATP)	M_atp_c + M_gmp_c <=> M_adp_c + M_gdp_c				SBO:0000176	True	G_b3648	cobra_default_lb	cobra_default_ub	GK1	ECOLI:GUANYL-KIN-RXN	2.7.4.8	R00332	MNXR188119	20781	77	rxn00239		MNXR100144						
R_GLCNtex	D-gluconate transport via diffusion (extracellular to periplasm)	M_glcn_e <=> M_glcn_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	GLCNtex	ECOLI:RXN0-2481			MNXR100210		13786	rxn08610								
R_GLNtex	L-glutamine transport via diffusion (extracellular to periplasm)	M_gln__L_e <=> M_gln__L_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	GLNtex	ECOLI:RXN0-2481			MNXR100259		13421	rxn10928	R-SCE-212614							
R_O2tex	Oxygen transport via diffusion (extracellular to periplasm)	M_o2_e <=> M_o2_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	O2tex	ECOLI:RXN0-2481			MNXR102090			rxn09734								
R_D_LACtex	D-lactate transport via diffusion (extracellular to periplasm)	M_lac__D_e <=> M_lac__D_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	D_LACtex	ECOLI:RXN0-2481			MNXR97840		12471	rxn08351								
R_GLCtex_copy1	Glucose transport via diffusion (extracellular to periplasm)	M_glc__D_e <=> M_glc__D_p				SBO:0000176	False	(G_b0929 or G_b2215 or G_b0241 or G_b1377 or G_b4036)	cobra_0_bound	cobra_default_ub	GLCtex	ECOLI:RXN0-2481			MNXR145025		601	rxn08617		MNXR100188						
R_FUMt2_2pp	Fumarate transport via proton symport (2 H) (periplasm)	M_fum_p + 2.0 M_h_p <=> M_fum_c + 2.0 M_h_c				SBO:0000185	False	(G_b3528 or G_b1206)	cobra_0_bound	cobra_default_ub	FUMt2_2pp	ECOLI:TRANS-RXN0-553			MNXR153630	29331		rxn10152		MNXR99711						
R_PItex	Phosphate transport via diffusion (extracellular to periplasm)	M_pi_e <=> M_pi_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	PItex	ECOLI:RXN0-2481			MNXR146072	32823	10985	rxn13178		MNXR102871						
R_CYTBDpp	Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	4.0 M_h_c + M_o2_c + 2.0 M_q8h2_c <=> 2.0 M_h2o_c + 4.0 M_h_p + 2.0 M_q8_c				SBO:0000185	False	((G_b0978 and G_b0979 and G_b4592) or (G_b0733 and G_b0734 and G_b4515 and G_b4602))	cobra_0_bound	cobra_default_ub	CYTBDpp	ECOLI:RXN0-5266		R11325	MNXR97031			rxn08288								
R_CYTBD2pp	Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)	4.0 M_h_c + 2.0 M_mql8_c + M_o2_c <=> 2.0 M_h2o_c + 4.0 M_h_p + 2.0 M_mqn8_c				SBO:0000185	False	((G_b0978 and G_b0979 and G_b4592) or (G_b0733 and G_b0734 and G_b4515 and G_b4602))	cobra_0_bound	cobra_default_ub	CYTBD2pp	ECOLI:RXN0-5266		R11325	MNXR97032			rxn10806								
R_ACALDtpp	Acetaldehyde reversible transport (periplasm)	M_acald_p <=> M_acald_c				SBO:0000185	True	G_s0001	cobra_default_lb	cobra_default_ub	ACALDtpp				MNXR95212			rxn08032	R-HSA-449872							
R_ACt2rpp	Acetate reversible transport via proton symport (periplasm)	M_ac_p + M_h_p <=> M_ac_c + M_h_c				SBO:0000185	True	G_b0010	cobra_default_lb	cobra_default_ub	ACt2rpp	ECOLI:TRANS-RXN0-571			MNXR95429			rxn05488								
R_METS	Methionine synthase	M_5mthf_c + M_hcys__L_c <=> M_h_c + M_met__L_c + M_thf_c				SBO:0000176	False	(G_b4019 or G_b3829)	cobra_0_bound	cobra_default_ub	METS	ECOLI:HOMOCYSMETB12-RXN	2.1.1.13	R00946	MNXR145582	11172	1260			MNXR101481						
R_EX_glyc__R_e	(R)-Glycerate exchange	M_glyc__R_e <=> 				SBO:0000627	False		cobra_0_bound	cobra_default_ub	EX_glyc__R_e				MNXR100323			rxn08645								
R_FRUtex	D-fructose transport via diffusion (extracellular to periplasm)	M_fru_e <=> M_fru_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	FRUtex	ECOLI:RXN0-2481			MNXR192550		13415	rxn08537	R-DDI-189222	MNXR99663						
R_FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	M_fum_e <=> M_fum_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	FUMtex	ECOLI:RXN0-2481			MNXR153631			rxn11013		MNXR99715						
R_PRASCSi	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	M_5aizc_c + M_asp__L_c + M_atp_c <=> M_25aics_c + M_adp_c + M_h_c + M_pi_c				SBO:0000176	False	G_b2476	cobra_0_bound	cobra_default_ub	PRASCSi	ECOLI:SAICARSYN-RXN	6.3.2.6	R04591	MNXR192576	22630			R-SSC-73805	MNXR108987						
R_MTHFC	Methenyltetrahydrofolate cyclohydrolase	M_h2o_c + M_methf_c <=> M_10fthf_c + M_h_c				SBO:0000176	True	G_b0529	cobra_default_lb	cobra_default_ub	MTHFC	ECOLI:METHENYLTHFCYCLOHYDRO-RXN	1.5.1.15	R01655	MNXR188454	23703	74	rxn01211	R-XTR-6801462	MNXR101748						
R_MTHFD	Methylenetetrahydrofolate dehydrogenase (NADP)	M_mlthf_c + M_nadp_c <=> M_methf_c + M_nadph_c				SBO:0000176	True	G_b0529	cobra_default_lb	cobra_default_ub	MTHFD	ECOLI:METHYLENETHFDEHYDROG-NADP-RXN	1.5.1.5	R01220	MNXR188456	22812				MNXR101749						
R_XYLtex	D-xylose transport via diffusion (extracellular to periplasm)	M_xyl__D_e <=> M_xyl__D_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	XYLtex	ECOLI:RXN0-2481			MNXR105270			rxn09650								
R_FORtppi	Formate transport via diffusion (cytoplasm to periplasm)	M_for_c <=> M_for_p				SBO:0000185	False	(G_b0904 or G_b2492)	cobra_0_bound	cobra_default_ub	FORtppi	ECOLI:TRANS-RXN-1			MNXR99620	29679	12483	rxn08526	R-HSA-6803255							
R_PYRtex	Pyruvate transport via diffusion (extracellular to periplasm)	M_pyr_e <=> M_pyr_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	PYRtex	ECOLI:RXN0-2481			MNXR103384		12168	rxn09218								
R_SO4tex	Sulfate transport via diffusion (extracellular to periplasm)	M_so4_e <=> M_so4_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	SO4tex	ECOLI:RXN0-2481			MNXR104469	34985		rxn05238	R-DME-8875871							
R_SUCCtex	Succinate transport via diffusion (extracellular to periplasm)	M_succ_e <=> M_succ_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	SUCCtex	ECOLI:RXN0-2481			MNXR104619			rxn09271								
R_GRXR	Glutaredoxin reductase	M_grxox_c + 2.0 M_gthrd_c <=> M_grxrd_c + M_gthox_c				SBO:0000176	False	((G_b3610 and (G_b0849 or G_b1064 or G_b3610)) or (G_b0849 and (G_b0849 or G_b1064 or G_b3610)) or (G_b1064 and (G_b0849 or G_b1064 or G_b3610)))	cobra_0_bound	cobra_default_ub	GRXR	ECOLI:PRODISULFREDUCT-RXN	1.8.4.2		MNXR145126			rxn08670		MNXR100431						
R_RNDR1b	Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin)	M_adp_c + M_grxrd_c <=> M_dadp_c + M_grxox_c + M_h2o_c				SBO:0000176	False	(G_b2675 and G_b2676 and (G_b0849 or G_b1064 or G_b3610))	cobra_0_bound	cobra_default_ub	RNDR1b	ECOLI:RXN0-747			MNXR146318			rxn09231		MNXR104061						
R_RNDR2b	Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin)	M_gdp_c + M_grxrd_c <=> M_dgdp_c + M_grxox_c + M_h2o_c				SBO:0000176	False	(G_b2675 and G_b2676 and (G_b0849 or G_b1064 or G_b3610))	cobra_0_bound	cobra_default_ub	RNDR2b	ECOLI:RXN0-748			MNXR146324			rxn09232		MNXR104063						
R_MALt2_2pp	Malate transport via proton symport (2 H) (periplasm)	2.0 M_h_p + M_mal__L_p <=> 2.0 M_h_c + M_mal__L_c				SBO:0000185	False	G_b3528	cobra_0_bound	cobra_default_ub	MALt2_2pp	ECOLI:TRANS-RXN-121A			MNXR101370	29339		rxn10153								
R_NH4tpp	Ammonia reversible transport (periplasm)	M_nh4_p <=> M_nh4_c				SBO:0000185	True	(G_b0451 or G_s0001)	cobra_default_lb	cobra_default_ub	NH4tpp	ECOLI:RXN-9615			MNXR101950	28747	11683	rxn09736	R-DME-444416							
R_NH4tex	Ammonia transport via diffusion (extracellular to periplasm)	M_nh4_e <=> M_nh4_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	NH4tex	ECOLI:RXN0-2481			MNXR101950	28747	11683	rxn09736	R-DME-444416							
R_RIBabcpp	D-ribose transport via ABC system (periplasm)	M_atp_c + M_h2o_c + M_rib__D_p <=> M_adp_c + M_h_c + M_pi_c + M_rib__D_c				SBO:0000185	False	((G_b3749 and G_b3750 and G_b3751 and G_b3748) or (G_b4087 and G_b4086 and G_b4088 and G_b3748) or (G_b4231 and G_b4485 and G_b4230 and G_b4227 and G_b3748))	cobra_0_bound	cobra_default_ub	RIBabcpp	ECOLI:ABC-28-RXN	3.6.3.17	R08247	MNXR146302	29906#1		rxn09227		MNXR104034						
R_GLYCAt2rpp	D-glycerate transport via proton symport, reversible (periplasm)	M_glyc__R_p + M_h_p <=> M_glyc__R_c + M_h_c				SBO:0000185	True	(G_b2789 or G_b3127)	cobra_default_lb	cobra_default_ub	GLYCAt2rpp	ECOLI:TRANS-RXN0-523			MNXR145092			rxn13711		MNXR100322						
R_GLYCAtex	D-glycerate transport via diffusion (extracellular to periplasm)	M_glyc__R_e <=> M_glyc__R_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	GLYCAtex	ECOLI:RXN0-2481			MNXR145093			rxn08645		MNXR100323						
R_GLYCtpp	Glycerol transport via channel (periplasm)	M_glyc_c <=> M_glyc_p				SBO:0000185	True	(G_b3927 or G_s0001)	cobra_default_lb	cobra_default_ub	GLYCtpp	ECOLI:TRANS-RXN-131			MNXR100343	29675		rxn08658	R-DRE-507871							
R_H2Otpp	H2O transport via diffusion (periplasm)	M_h2o_p <=> M_h2o_c				SBO:0000185	True	(G_b0875 or G_s0001)	cobra_default_lb	cobra_default_ub	H2Otpp	ECOLI:TRANS-RXN-145			MNXR98641	29670		rxn05319	R-RNO-445714							
R_GLNabcpp	L-glutamine transport via ABC system (periplasm)	M_atp_c + M_gln__L_p + M_h2o_c <=> M_adp_c + M_gln__L_c + M_h_c + M_pi_c				SBO:0000185	False	(G_b0809 and G_b0810 and G_b0811)	cobra_0_bound	cobra_default_ub	GLNabcpp	ECOLI:ABC-12-RXN	3.6.3.21		MNXR100258	29896#1		rxn08624								
R_CO2tex	CO2 transport via diffusion (extracellular to periplasm)	M_co2_e <=> M_co2_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	CO2tex	ECOLI:RXN0-2481			MNXR96810			rxn09860	R-ATH-1247649							
R_GLUt2rpp	L-glutamate transport via proton symport, reversible (periplasm)	M_glu__L_p + M_h_p <=> M_glu__L_c + M_h_c				SBO:0000185	True	G_b4077	cobra_default_lb	cobra_default_ub	GLUt2rpp	ECOLI:TRANS-RXN-162			MNXR100300			rxn08631	R-BTA-8875623							
R_ACGK	Acetylglutamate kinase	M_acglu_c + M_atp_c <=> M_acg5p_c + M_adp_c				SBO:0000176	False	G_b3959	cobra_0_bound	cobra_default_ub	ACGK	ECOLI:ACETYLGLUTKIN-RXN	2.7.2.8	R02649	MNXR95256	14629	2545	rxn01917								
R_GNK	Gluconokinase	M_atp_c + M_glcn_c <=> M_6pgc_c + M_adp_c + M_h_c				SBO:0000176	False	(G_b3437 or G_b4268)	cobra_0_bound	cobra_default_ub	GNK	ECOLI:GLUCONOKIN-RXN	2.7.1.12	R01737	MNXR100390	19435	1845	rxn01275								
R_GLUDy	Glutamate dehydrogenase (NADP)	M_glu__L_c + M_h2o_c + M_nadp_c <=> M_akg_c + M_h_c + M_nadph_c + M_nh4_c				SBO:0000176	True	((G_b3213 and G_b3212) or G_b1761)	cobra_default_lb	cobra_default_ub	GLUDy	ECOLI:GLUTDEHYD-RXN	1.4.1.4	R00248	MNXR100086	11615	757	rxn00184								
R_GLCNt2rpp	D-gluconate transport via proton symport, reversible (periplasm)	M_glcn_p + M_h_p <=> M_glcn_c + M_h_c				SBO:0000185	True	(G_b4321 or G_b3415 or G_b4476 or G_b4265)	cobra_default_lb	cobra_default_ub	GLCNt2rpp	ECOLI:TRANS-RXN0-209			MNXR100209	28832		rxn05571								
R_GLCptspp	D-glucose transport via PEP:Pyr PTS (periplasm)	M_glc__D_p + M_pep_c <=> M_g6p_c + M_pyr_c				SBO:0000185	False	((G_b3722 and G_b2416 and G_b2415) or (G_b1819 and G_b1818 and G_b1817 and G_b2416 and G_b2415) or (G_b1101 and G_b2417 and G_b2416 and G_b2415))	cobra_0_bound	cobra_default_ub	GLCptspp	ECOLI:TRANS-RXN-157			MNXR188131			rxn05226		MNXR100237						
R_EX_h2o_e	H2O exchange	M_h2o_e <=> 				SBO:0000627	True		cobra_default_lb	cobra_default_ub	EX_h2o_e				MNXR98641	29670		rxn05319	R-RNO-445714							
R_HSTPT	Histidinol-phosphate transaminase	M_glu__L_c + M_imacp_c <=> M_akg_c + M_hisp_c				SBO:0000176	False	G_b2021	cobra_0_bound	cobra_default_ub	HSTPT	ECOLI:HISTAMINOTRANS-RXN	2.6.1.9	R03243	MNXR95852	23746	3064	rxn02320								
R_THDPS	Tetrahydrodipicolinate succinylase	M_h2o_c + M_succoa_c + M_thdp_c <=> M_coa_c + M_sl2a6o_c				SBO:0000176	False	G_b0166	cobra_0_bound	cobra_default_ub	THDPS	ECOLI:TETHYDPICSUCC-RXN	2.3.1.117	R04365	MNXR188900	17328		rxn03031		MNXR104806						
R_ATPM	ATP maintenance requirement	M_atp_c + M_h2o_c <=> M_adp_c + M_h_c + M_pi_c				SBO:0000176	False	(G_b1203 or G_b2184 or G_b1653)	R_ATPM_lower_bound	cobra_default_ub	ATPM	ECOLI:ATPASE-RXN	3.6.3.49	R00086	MNXR153054	13067	75	rxn00062		MNXR96131						
R_THRD_L	L-threonine deaminase	M_thr__L_c <=> M_2obut_c + M_nh4_c				SBO:0000176	False	(G_b3117 or G_b3772 or G_b1814)	cobra_0_bound	cobra_default_ub	THRD_L	ECOLI:THREDEHYD-RXN	4.3.1.19	R00996	MNXR104714	22110	1290	rxn00737								
R_ETOHtex	Ethanol transport via diffusion (extracellular to periplasm)	M_etoh_e <=> M_etoh_p				SBO:0000185	True	(G_b0929 or G_b2215 or G_b0241 or G_b1377)	cobra_default_lb	cobra_default_ub	ETOHtex	ECOLI:RXN0-2481			MNXR97980	35268		rxn09764								
R_RNDR2	Ribonucleoside-diphosphate reductase (GDP)	M_gdp_c + M_trdrd_c <=> M_dgdp_c + M_h2o_c + M_trdox_c				SBO:0000176	False	(G_b2234 and G_b2235 and (G_b3781 or G_b2582))	cobra_0_bound	cobra_default_ub	RNDR2	ECOLI:GDPREDUCT-RXN	1.17.4.1	R02019	MNXR146320			rxn05233		MNXR104062						
R_DHFR	Dihydrofolate reductase	M_dhf_c + M_h_c + M_nadph_c <=> M_nadp_c + M_thf_c				SBO:0000176	True	(G_b1606 or G_b0048)	cobra_default_lb	cobra_default_ub	DHFR	ECOLI:DIHYDROFOLATEREDUCT-RXN	1.5.1.3	R00939	MNXR190914	15011	100		R-DME-197972	MNXR97401						
R_PRAIi	Phosphoribosylanthranilate isomerase (irreversible)	M_pran_c <=> M_2cpr5p_c				SBO:0000176	False	G_b1262	cobra_0_bound	cobra_default_ub	PRAIi	ECOLI:PRAISOM-RXN	5.3.1.24	R03509	MNXR103156	21541		rxn02508								
R_EX_mal__L_e	L-Malate exchange	M_mal__L_e <=> 				SBO:0000627	False		cobra_0_bound	cobra_default_ub	EX_mal__L_e				MNXR101367		13793	rxn08868								
R_TYRTA	Tyrosine transaminase	M_akg_c + M_tyr__L_c <=> M_34hpp_c + M_glu__L_c				SBO:0000176	True	(G_b0928 or G_b4054 or G_b3770)	cobra_default_lb	cobra_default_ub	TYRTA	ECOLI:TYROSINE-AMINOTRANSFERASE-RXN	2.6.1.1	R00734	MNXR105000	15095	1097	rxn00527	R-RNO-71155							
R_SHKK	Shikimate kinase	M_atp_c + M_skm_c <=> M_adp_c + M_h_c + M_skm5p_c				SBO:0000176	False	(G_b3390 or G_b0388)	cobra_0_bound	cobra_default_ub	SHKK	ECOLI:SHIKIMATE-KINASE-RXN	2.7.1.71	R02412	MNXR104379	13124	2350	rxn01739	R-MTU-964939							
R_EX_so4_e	Sulfate exchange	M_so4_e <=> 				SBO:0000627	True		cobra_default_lb	cobra_default_ub	EX_so4_e				MNXR104469	34985		rxn05238	R-DME-8875871							
R_GLUSy	Glutamate synthase (NADPH)	M_akg_c + M_gln__L_c + M_h_c + M_nadph_c <=> 2.0 M_glu__L_c + M_nadp_c				SBO:0000176	False	(G_b3213 and G_b3212)	cobra_0_bound	cobra_default_ub	GLUSy	ECOLI:GLUTAMATESYN-RXN	1.4.1.13	R00114	MNXR100291	15502	694	rxn00085								
R_OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	M_3c4mop_c + M_h_c <=> M_4mop_c + M_co2_c				SBO:0000176	False	G_s0001	cobra_0_bound	cobra_default_ub	OMCDC	ECOLI:RXN-7800	1.1.1.85	R01652	MNXR102180	25079		rxn01208								
R_IG3PS	Imidazole-glycerol-3-phosphate synthase	M_gln__L_c + M_prlp_c <=> M_aicar_c + M_eig3p_c + M_glu__L_c + M_h_c				SBO:0000176	False	(G_b2023 and G_b2025)	cobra_0_bound	cobra_default_ub	IG3PS	ECOLI:GLUTAMIDOTRANS-RXN	2.4.2.-	R04558	MNXR188249	24795	4234	rxn03135		MNXR100811						
R_PDH	Pyruvate dehydrogenase	M_coa_c + M_nad_c + M_pyr_c <=> M_accoa_c + M_co2_c + M_nadh_c				SBO:0000176	False	(G_b0114 and G_b0115 and G_b0116)	cobra_0_bound	cobra_default_ub	PDH	ECOLI:PYRUVDEH-RXN	2.3.1.12	R00209	MNXR188625	28042	523	rxn00154	R-MMU-71397	MNXR102425						
R_MTHFR2	5,10-methylenetetrahydrofolate reductase (NADH)	2.0 M_h_c + M_mlthf_c + M_nadh_c <=> M_5mthf_c + M_nad_c				SBO:0000176	False	G_b3941	cobra_0_bound	cobra_default_ub	MTHFR2	ECOLI:RXN-22438	1.5.1.20	R07168	MNXR145716	19824				MNXR101751						
R_EX_nh4_e	Ammonia exchange	M_nh4_e <=> 				SBO:0000627	True		cobra_default_lb	cobra_default_ub	EX_nh4_e				MNXR101950	28747	11683	rxn09736	R-DME-444416							
R_DUTPDP	DUTP diphosphatase	M_dutp_c + M_h2o_c <=> M_dump_c + M_h_c + M_ppi_c				SBO:0000176	False	(G_b2251 or G_b3640)	cobra_0_bound	cobra_default_ub	DUTPDP	ECOLI:DUTP-PYROP-RXN	3.6.1.9	R02100	MNXR97822	10248	365	rxn01519	R-TGU-73666							
R_NTP5	Nucleoside-triphosphatase (CTP)	M_ctp_c + M_h2o_c <=> M_cdp_c + M_h_c + M_pi_c				SBO:0000176	False	G_b4161	cobra_0_bound	cobra_default_ub	NTP5	ECOLI:RXN-12195	3.6.1.15	R00569	MNXR188539	29390		rxn00408		MNXR102045						
R_FORt2pp	Formate transport via proton symport (uptake only, periplasm)	M_for_p + M_h_p <=> M_for_c + M_h_c				SBO:0000185	False	(G_b0904 or G_b2492)	cobra_0_bound	cobra_default_ub	FORt2pp	ECOLI:TRANS-RXN-1			MNXR99621			rxn05559								
R_EX_etoh_e	Ethanol exchange	M_etoh_e <=> 				SBO:0000627	False		cobra_0_bound	cobra_default_ub	EX_etoh_e				MNXR97980	35268		rxn09764								
R_GLNS	Glutamine synthetase	M_atp_c + M_glu__L_c + M_nh4_c <=> M_adp_c + M_gln__L_c + M_h_c + M_pi_c				SBO:0000176	False	G_b3870	cobra_0_bound	cobra_default_ub	GLNS	ECOLI:GLUTAMINESYN-RXN	6.3.1.2	R00253	MNXR100024	16170	760	rxn00187	R-SCE-70606							
R_ACGS	N-acetylglutamate synthase	M_accoa_c + M_glu__L_c <=> M_acglu_c + M_coa_c + M_h_c				SBO:0000176	False	G_b2818	cobra_0_bound	cobra_default_ub	ACGS	ECOLI:N-ACETYLTRANSFER-RXN	2.3.1.1	R00259	MNXR190531	24294	764	rxn00192	R-RNO-70542	MNXR95259						
R_SUCOAS	Succinyl-CoA synthetase (ADP-forming)	M_atp_c + M_coa_c + M_succ_c <=> M_adp_c + M_pi_c + M_succoa_c				SBO:0000176	True	(G_b0729 and G_b0728)	cobra_default_lb	cobra_default_ub	SUCOAS	ECOLI:SUCCCOASYN-RXN	6.2.1.5	R00405	MNXR188878	17661	260	rxn00285	R-MMU-70997	MNXR104635						
R_PRAIS	Phosphoribosylaminoimidazole synthase	M_atp_c + M_fpram_c <=> M_adp_c + M_air_c + 2.0 M_h_c + M_pi_c				SBO:0000176	False	G_b2499	cobra_0_bound	cobra_default_ub	PRAIS	ECOLI:AIRS-RXN	6.3.3.1		MNXR108734	23035				MNXR138720						
R_HISTP	Histidinol-phosphatase	M_h2o_c + M_hisp_c <=> M_histd_c + M_pi_c				SBO:0000176	False	(G_b0383 or G_b2022)	cobra_0_bound	cobra_default_ub	HISTP	ECOLI:HISTIDPHOS-RXN	3.1.3.15	R03013	MNXR100642	14465		rxn02160								
R_LDH_D	D-lactate dehydrogenase	M_lac__D_c + M_nad_c <=> M_h_c + M_nadh_c + M_pyr_c				SBO:0000176	True	G_b1380	cobra_default_lb	cobra_default_ub	LDH_D	ECOLI:DLACTDEHYDROGNAD-RXN	1.1.1.28	R00704	MNXR101037	16369	155	rxn00500								
R_KAS15	Beta-ketoacyl-ACP synthase (2)	M_accoa_c + M_h_c + M_malACP_c <=> M_actACP_c + M_co2_c + M_coa_c				SBO:0000176	False	G_b1091	cobra_0_bound	cobra_default_ub	KAS15	ECOLI:2.3.1.180-RXN	2.3.1.180	R10707	MNXR189686			rxn08766		MNXR100913						
R_T2DECAI	Trans-2-decenoyl-ACP isomerase	M_tdec2eACP_c <=> M_cdec3eACP_c				SBO:0000176	True	G_b0954	cobra_default_lb	cobra_default_ub	T2DECAI	ECOLI:5.3.3.14-RXN			MNXR104659											
R_3OAS161	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	M_h_c + M_malACP_c + M_tdeACP_c <=> M_3ocpalm9eACP_c + M_ACP_c + M_co2_c				SBO:0000176	False	(G_b2323 and G_b1094)	cobra_0_bound	cobra_default_ub	3OAS161	ECOLI:RXN-10658	2.3.1.41		MNXR94960											
